Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1777034364,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1777034365,2,,Aggregated,0.000000,0.000000,84,84,84,84,84,84,84,84,84,84,84,2,0,44.135302072390914,63.95016750320792,44.135302072390914,83.76503293402493,14523.0
1777034366,3,,Aggregated,0.000000,0.000000,53,53,84,84,84,84,84,84,84,84,84,3,0,53,60.330200009047985,44.135302072390914,83.76503293402493,14523.0
1777034367,4,,Aggregated,0.000000,0.000000,70,70,84,84,84,84,84,84,84,84,84,4,0,53,62.67455601482652,44.135302072390914,83.76503293402493,14523.0
1777034368,5,,Aggregated,1.000000,0.000000,53,70,70,84,84,84,84,84,84,84,84,5,0,53,53.74003262259066,18.00193905364722,83.76503293402493,14523.0
1777034369,6,,Aggregated,1.500000,0.000000,53,53,70,70,84,84,84,84,84,84,84,6,0,44,50.39381035991634,18.00193905364722,83.76503293402493,14523.0
1777034370,7,,Aggregated,1.250000,0.000000,62,70,84,84,470,470,470,470,470,470,470,8,0,53,104.13158751907758,18.00193905364722,468.4038390405476,14523.0
1777034371,8,,Aggregated,1.200000,0.000000,70,72,84,84,420,470,470,470,470,470,470,11,0,70,126.93732574751431,18.00193905364722,468.4038390405476,14523.0
1777034372,9,,Aggregated,1.200000,0.000000,70,72,78,84,420,470,470,470,470,470,470,13,0,70,115.35098686671027,18.00193905364722,468.4038390405476,14523.0
1777034373,10,,Aggregated,1.166667,0.000000,62,72,78,84,420,470,470,470,470,470,470,15,0,62,102.85891248689343,15.874064061790705,468.4038390405476,14523.0
1777034374,12,,Aggregated,1.625000,0.000000,53,70,72,78,420,470,470,470,470,470,470,18,0,44,89.14313345707745,15.874064061790705,468.4038390405476,14523.0
1777034375,13,,Aggregated,1.666667,0.000000,53,70,72,76,84,420,470,470,470,470,470,21,0,53,83.53737805460003,15.874064061790705,468.4038390405476,14523.0
1777034376,14,,Aggregated,1.700000,0.000000,34,62,72,76,84,420,470,470,470,470,470,25,0,34,73.30241608899087,15.874064061790705,468.4038390405476,14523.0
1777034377,15,,Aggregated,1.900000,0.000000,27,57,72,72,84,420,470,470,470,470,470,28,0,26,67.25013019084665,13.902173028327525,468.4038390405476,14523.0
1777034378,16,,Aggregated,1.900000,0.000000,27,57,72,72,83,420,470,470,470,470,470,31,0,27,65.05610659388044,13.902173028327525,468.4038390405476,14523.0
1777034379,17,,Aggregated,2.300000,0.000000,26,53,70,72,83,420,470,470,470,470,470,35,0,26,59.75325826688537,13.315128977410495,468.4038390405476,14523.0
1777034380,18,,Aggregated,2.600000,0.000000,24,44,62,72,83,420,470,470,470,470,470,38,0,23,56.35854819066528,11.423754971474409,468.4038390405476,14523.0
1777034381,19,,Aggregated,2.800000,0.000000,22,34,62,72,83,400,470,470,470,470,470,44,0,22,59.621301847404204,11.257816920988262,468.4038390405476,14523.0
1777034382,20,,Aggregated,3.000000,0.000000,22,27,57,70,83,400,470,470,470,470,470,48,0,21,56.14506363296338,11.257816920988262,468.4038390405476,14523.0
1777034383,22,,Aggregated,3.300000,0.000000,21,27,44,62,78,400,420,470,470,470,470,53,0,21,52.757279740927636,11.257816920988262,468.4038390405476,14523.0
1777034384,23,,Aggregated,3.400000,0.000000,22,27,34,57,78,400,420,470,470,470,470,58,0,21,50.23439374455283,11.257816920988262,468.4038390405476,14523.0
1777034385,24,,Aggregated,3.700000,0.000000,23,27,31,53,76,84,420,470,470,470,470,62,0,22,48.86309948614648,11.257816920988262,468.4038390405476,14523.0
1777034386,25,,Aggregated,3.900000,0.000000,23,27,31,44,76,84,420,470,470,470,470,69,0,23,46.50742132250436,11.257816920988262,468.4038390405476,14523.0
1777034387,26,,Aggregated,4.100000,0.000000,23,28,30,36,72,84,420,470,470,470,470,74,0,23,45.197090612271346,11.257816920988262,468.4038390405476,14523.0
1777034388,27,,Aggregated,4.400000,0.000000,24,27,29,34,72,84,420,470,470,470,470,80,0,23,43.683380116999615,11.257816920988262,468.4038390405476,14523.0
1777034389,28,,Aggregated,4.600000,0.000000,23,27,29,31,72,83,420,470,470,470,470,86,0,23,42.149846469117115,11.257816920988262,468.4038390405476,14523.0
1777034390,29,,Aggregated,4.800000,0.000000,23,27,29,30,70,83,420,470,470,470,470,91,0,23,41.23100953990246,11.257816920988262,468.4038390405476,14523.0
1777034391,30,,Aggregated,4.800000,0.000000,24,28,29,31,70,83,420,470,470,470,470,98,0,24,40.21742053054349,11.257816920988262,468.4038390405476,14523.0
1777034392,32,,Aggregated,5.300000,0.000000,25,28,29,31,62,78,400,420,470,470,470,106,0,24,39.096494621535726,11.257816920988262,468.4038390405476,14523.0
1777034393,33,,Aggregated,5.500000,0.000000,26,28,29,31,57,78,400,420,470,470,470,113,0,26,38.63410355906472,11.257816920988262,468.4038390405476,14523.0
1777034394,34,,Aggregated,5.700000,0.000000,26,28,29,31,57,78,400,420,470,470,470,119,0,26,37.86739311767977,11.257816920988262,468.4038390405476,14523.0
1777034395,35,,Aggregated,5.700000,0.000000,25,28,29,31,54,76,400,420,470,470,470,125,0,25,37.200831967405975,11.257816920988262,468.4038390405476,14523.0
1777034396,36,,Aggregated,5.900000,0.000000,26,28,29,30,53,76,400,420,470,470,470,134,0,25,36.38394111889039,11.257816920988262,468.4038390405476,14523.0
1777034397,37,,Aggregated,6.400000,0.000000,26,28,29,30,44,72,400,420,470,470,470,143,0,26,35.69675825041283,11.257816920988262,468.4038390405476,14523.0
1777034398,38,,Aggregated,6.600000,0.000000,26,28,29,30,44,72,400,420,470,470,470,150,0,26,35.129841753126435,11.257816920988262,468.4038390405476,14523.0
1777034399,39,,Aggregated,6.800000,0.000000,26,28,29,30,36,72,84,420,470,470,470,158,0,26,34.697468454442635,11.257816920988262,468.4038390405476,14523.0
1777034400,40,,Aggregated,6.800000,0.000000,26,29,29,30,34,72,84,420,470,470,470,165,0,26,34.38421978587002,11.257816920988262,468.4038390405476,14523.0
1777034401,42,,Aggregated,7.300000,0.000000,26,28,29,30,33,72,84,420,470,470,470,176,0,26,33.7693325153933,11.257816920988262,468.4038390405476,14523.0
1777034402,43,,Aggregated,7.500000,0.000000,26,28,29,30,32,70,84,420,470,470,470,186,0,26,33.19704302734325,11.257816920988262,468.4038390405476,14523.0
1777034403,44,,Aggregated,7.600000,0.000000,26,28,29,30,32,70,84,420,470,470,470,194,0,26,32.86675304791304,11.257816920988262,468.4038390405476,14523.0
1777034404,45,,Aggregated,7.900000,0.000000,26,28,29,30,32,62,83,400,470,470,470,203,0,26,32.577612041036964,11.257816920988262,468.4038390405476,14523.0
1777034405,46,,Aggregated,8.200000,0.000000,26,28,29,30,31,62,83,400,470,470,470,211,0,26,32.11910651403069,11.257816920988262,468.4038390405476,14523.0
1777034406,47,,Aggregated,8.400000,0.000000,26,28,29,30,31,57,83,400,470,470,470,223,0,26,31.475474492066244,11.257816920988262,468.4038390405476,14523.0
1777034407,48,,Aggregated,8.500000,0.000000,26,28,29,30,31,57,83,400,470,470,470,234,0,25,31.096472523800042,11.257816920988262,468.4038390405476,14523.0
1777034408,49,,Aggregated,8.700000,0.000000,26,28,29,30,31,54,83,400,470,470,470,243,0,26,30.917594778934042,11.257816920988262,468.4038390405476,14523.0
1777034409,50,,Aggregated,9.000000,0.000000,26,28,29,30,31,54,78,400,470,470,470,253,0,26,30.74341853933313,11.257816920988262,468.4038390405476,14523.0
1777034410,52,,Aggregated,9.300000,0.000000,26,28,29,30,31,53,78,400,470,470,470,263,0,26,30.40755020734277,11.257816920988262,468.4038390405476,14523.0
1777034411,53,,Aggregated,9.500000,0.000000,25,28,29,29,31,53,78,400,470,470,470,276,0,25,29.907715574338816,11.257816920988262,468.4038390405476,14523.0
1777034412,54,,Aggregated,9.600000,0.000000,25,28,29,29,31,44,78,400,470,470,470,288,0,25,29.533809426033663,11.257816920988262,468.4038390405476,14523.0
1777034413,55,,Aggregated,9.900000,0.000000,25,28,29,29,31,44,78,400,470,470,470,298,0,25,29.236733266886873,10.953553952276707,468.4038390405476,14523.0
1777034414,56,,Aggregated,10.200000,0.000000,24,28,29,29,31,36,76,84,470,470,470,309,0,24,28.866745709761084,10.953553952276707,468.4038390405476,14523.0
1777034415,57,,Aggregated,10.400000,0.000000,24,27,29,29,31,36,76,84,470,470,470,320,0,24,28.506400711194146,10.953553952276707,468.4038390405476,14523.0
1777034416,58,,Aggregated,10.500000,0.000000,24,27,29,29,31,34,76,84,470,470,470,334,0,24,28.17696109372275,10.953553952276707,468.4038390405476,14523.0
1777034417,59,,Aggregated,10.800000,0.000000,24,27,29,29,31,33,76,84,470,470,470,345,0,24,27.90339988541614,10.953553952276707,468.4038390405476,14523.0
1777034418,60,,Aggregated,11.000000,0.000000,24,27,28,29,31,33,72,84,470,470,470,358,0,24,27.62699141667885,10.953553952276707,468.4038390405476,14523.0
1777034419,62,,Aggregated,11.300000,0.000000,23,27,28,29,31,33,72,84,470,470,470,371,0,23,27.324506628259293,10.542628006078303,468.4038390405476,14523.0
1777034420,63,,Aggregated,11.500000,0.000000,23,27,28,29,30,32,72,84,470,470,470,383,0,23,27.052067188295602,10.542628006078303,468.4038390405476,14523.0
1777034421,64,,Aggregated,11.600000,0.000000,22,27,28,29,30,32,72,84,470,470,470,397,0,22,26.698839103554374,9.977794019505382,468.4038390405476,14523.0
1777034422,65,,Aggregated,11.900000,0.000000,23,27,28,29,30,32,72,83,470,470,470,410,0,23,26.705199137341413,9.977794019505382,468.4038390405476,14523.0
1777034423,66,,Aggregated,12.200000,0.000000,23,27,28,29,30,32,72,83,470,470,470,424,0,23,26.68414391134646,9.977794019505382,468.4038390405476,14523.0
1777034424,67,,Aggregated,12.200000,0.000000,23,27,28,29,30,32,72,83,470,470,470,438,0,23,26.560561495969182,9.977794019505382,468.4038390405476,14523.0
1777034425,68,,Aggregated,12.400000,0.000000,23,27,28,29,30,32,70,83,470,470,470,451,0,23,26.49487911371469,9.977794019505382,468.4038390405476,14523.0
1777034426,69,,Aggregated,12.800000,0.000000,23,27,28,29,30,32,70,83,470,470,470,466,0,23,26.28039443428736,9.977794019505382,468.4038390405476,14523.0
1777034427,70,,Aggregated,13.000000,0.000000,23,27,28,29,30,32,70,83,470,470,470,480,0,23,26.139646490628365,9.782163077034056,468.4038390405476,14523.0
1777034428,72,,Aggregated,13.300000,0.000000,23,27,28,29,30,32,70,83,470,470,470,496,0,23,25.930264539173578,9.782163077034056,468.4038390405476,14523.0
1777034429,73,,Aggregated,13.300000,0.000000,23,27,28,29,30,32,62,78,470,470,470,511,0,23,25.789168985686292,9.556021075695753,468.4038390405476,14523.0
1777034430,74,,Aggregated,13.500000,0.000000,22,27,28,29,30,31,62,78,470,470,470,524,0,22,25.671352529258446,9.556021075695753,468.4038390405476,14523.0
1777034431,75,,Aggregated,13.900000,0.000000,22,26,28,29,30,31,62,78,470,470,470,541,0,22,25.46459024465624,9.556021075695753,468.4038390405476,14523.0
1777034432,76,,Aggregated,14.200000,0.000000,22,26,28,29,30,31,57,78,470,470,470,556,0,22,25.343882296026663,9.556021075695753,468.4038390405476,14523.0
1777034433,77,,Aggregated,14.400000,0.000000,22,26,28,29,30,31,57,78,470,470,470,573,0,22,25.190596795034633,9.556021075695753,468.4038390405476,14523.0
1777034434,78,,Aggregated,14.600000,0.000000,22,26,28,28,30,31,57,78,470,470,470,588,0,22,25.0725180109041,9.556021075695753,468.4038390405476,14523.0
1777034435,79,,Aggregated,14.800000,0.000000,22,26,27,28,30,31,54,76,470,470,470,603,0,22,24.961544533227734,9.556021075695753,468.4038390405476,14523.0
1777034436,80,,Aggregated,15.000000,0.000000,22,26,27,28,30,31,54,76,470,470,470,621,0,22,24.812548697083265,9.556021075695753,468.4038390405476,14523.0
1777034437,82,,Aggregated,15.300000,0.000000,22,26,27,28,30,31,54,76,470,470,470,638,0,22,24.67071612056806,9.556021075695753,468.4038390405476,14523.0
1777034438,83,,Aggregated,15.300000,0.000000,22,26,27,28,30,31,53,76,470,470,470,656,0,21,24.478048260611903,9.556021075695753,468.4038390405476,14523.0
1777034439,84,,Aggregated,15.700000,0.000000,21,26,27,28,30,31,53,76,470,470,470,671,0,21,24.396119660270386,9.237542049959302,468.4038390405476,14523.0
1777034440,85,,Aggregated,15.900000,0.000000,21,26,27,28,30,31,53,76,470,470,470,688,0,21,24.40197953394598,9.237542049959302,468.4038390405476,14523.0
1777034441,86,,Aggregated,16.100000,0.000000,22,26,27,28,30,31,44,72,470,470,470,707,0,22,24.475329609579884,9.237542049959302,468.4038390405476,14523.0
