Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1777038103,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1777038104,2,,Aggregated,0.000000,0.000000,68,68,68,68,68,68,68,68,68,68,68,2,0,64,65.57539897039533,63.575102016329765,67.57569592446089,8507.0
1777038105,3,,Aggregated,0.000000,0.000000,68,68,130,130,130,130,130,130,130,130,130,3,0,68,86.65925865837683,63.575102016329765,128.82697803433985,8507.0
1777038106,4,,Aggregated,0.000000,0.000000,68,68,130,130,130,130,130,130,130,130,130,3,0,68,86.65925865837683,63.575102016329765,128.82697803433985,8507.0
1777038107,5,,Aggregated,1.000000,0.000000,68,130,130,520,520,520,520,520,520,520,520,5,0,68,159.83267941046506,15.365782077424228,523.8198389997706,8507.0
1777038108,6,,Aggregated,1.000000,0.000000,68,68,130,130,520,520,520,520,520,520,520,6,0,64,143.7862470241574,15.365782077424228,523.8198389997706,8507.0
1777038109,7,,Aggregated,1.000000,0.000000,68,130,160,160,520,520,520,520,520,520,520,8,0,64,130.1790182624245,13.911740039475262,523.8198389997706,8507.0
1777038110,8,,Aggregated,1.000000,0.000000,64,130,160,160,170,520,520,520,520,520,520,11,0,64,114.3570089162412,13.911740039475262,523.8198389997706,8507.0
1777038111,9,,Aggregated,1.166667,0.000000,68,130,170,170,180,520,520,520,520,520,520,12,0,64,120.14788509501766,13.911740039475262,523.8198389997706,8507.0
1777038112,10,,Aggregated,1.428571,0.000000,64,130,170,180,410,520,520,520,520,520,520,15,0,64,125.23730547788243,12.96562107745558,523.8198389997706,8507.0
1777038113,12,,Aggregated,1.375000,0.000000,64,130,160,170,410,520,520,520,520,520,520,17,0,64,113.97908960112973,12.96562107745558,523.8198389997706,8507.0
1777038114,13,,Aggregated,1.444444,0.000000,37,68,140,160,180,410,520,520,520,520,520,21,0,37,102.11574719176583,12.96562107745558,523.8198389997706,8507.0
1777038115,14,,Aggregated,1.600000,0.000000,24,64,130,160,180,410,520,520,520,520,520,25,0,24,88.5163857601583,12.96562107745558,523.8198389997706,8507.0
1777038116,15,,Aggregated,1.800000,0.000000,24,64,130,140,180,410,520,520,520,520,520,27,0,24,83.41924481404324,12.96562107745558,523.8198389997706,8507.0
1777038117,16,,Aggregated,2.000000,0.000000,23,37,68,130,170,410,520,520,520,520,520,31,0,23,75.09749806335857,12.96562107745558,523.8198389997706,8507.0
1777038118,17,,Aggregated,2.200000,0.000000,22,31,64,130,170,410,520,520,520,520,520,34,0,22,69.99834832351874,12.96562107745558,523.8198389997706,8507.0
1777038119,18,,Aggregated,2.400000,0.000000,21,25,64,68,170,410,520,520,520,520,520,39,0,21,63.316441335094474,10.70427696686238,523.8198389997706,8507.0
1777038120,19,,Aggregated,2.700000,0.000000,21,25,37,64,160,180,520,520,520,520,520,44,0,19,58.040419802471824,10.70427696686238,523.8198389997706,8507.0
1777038121,20,,Aggregated,3.000000,0.000000,21,24,31,64,160,180,520,520,520,520,520,47,0,21,55.57377247308242,10.70427696686238,523.8198389997706,8507.0
1777038122,22,,Aggregated,3.100000,0.000000,19,23,26,37,140,180,410,520,520,520,520,53,0,19,51.351824628171634,10.70427696686238,523.8198389997706,8507.0
