Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1777658132,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1777658133,2,,Aggregated,0.000000,0.000000,430,430,430,430,430,430,430,430,430,430,430,2,0,160.40766600053757,297.09572849969845,160.40766600053757,433.78379099885933,2700.5
1777658134,3,,Aggregated,0.000000,0.000000,360,360,430,430,430,430,430,430,430,430,430,4,0,160,275.8670497496496,145.63205000013113,433.78379099885933,2700.5
1777658135,4,,Aggregated,2.000000,0.000000,160,360,430,430,440,440,440,440,440,440,440,8,0,150,217.46456374921763,22.323503999359673,437.59145899821306,2700.5
1777658136,5,,Aggregated,2.000000,0.000000,150,160,360,430,440,440,440,440,440,440,440,10,0,110,190.20312119973823,22.323503999359673,437.59145899821306,2700.5
1777658137,6,,Aggregated,2.000000,0.000000,150,160,360,360,430,440,440,440,440,440,440,12,0,110,185.86662716643332,22.323503999359673,437.59145899821306,2700.5
1777658138,7,,Aggregated,2.000000,0.000000,120,160,250,360,430,440,440,440,440,440,440,14,0,110,169.9768294997089,22.323503999359673,437.59145899821306,2700.5
1777658139,8,,Aggregated,2.000000,0.000000,120,150,250,250,430,440,440,440,440,440,440,16,0,110,158.31904193714763,21.174675999645842,437.59145899821306,2700.5
1777658140,9,,Aggregated,2.000000,0.000000,120,130,160,250,430,440,440,440,440,440,440,18,0,110,148.47902399964772,15.421305997733725,437.59145899821306,2700.5
1777658141,10,,Aggregated,2.333333,0.000000,110,130,160,250,430,440,440,440,440,440,440,20,0,110,142.60093739976583,15.421305997733725,437.59145899821306,2700.5
1777658142,12,,Aggregated,2.285714,0.000000,110,130,150,160,360,430,440,440,440,440,440,22,0,110,137.08458154525778,15.421305997733725,437.59145899821306,2700.5
1777658143,13,,Aggregated,2.222222,0.000000,110,130,160,160,360,430,440,440,440,440,440,28,0,110,126.0912709641551,15.421305997733725,437.59145899821306,2700.5
1777658144,14,,Aggregated,2.200000,0.000000,110,140,150,160,250,430,440,440,440,440,440,32,0,110,120.68021859363398,15.421305997733725,437.59145899821306,2700.5
1777658145,15,,Aggregated,2.200000,0.000000,110,130,150,160,250,430,440,440,440,440,440,36,0,110,117.12006069440879,15.421305997733725,437.59145899821306,2700.5
1777658146,16,,Aggregated,2.600000,0.000000,110,140,150,150,190,360,440,440,440,440,440,42,0,110,112.46297569067835,15.421305997733725,437.59145899821306,2700.5
1777658147,17,,Aggregated,2.600000,0.000000,110,140,150,150,190,360,440,440,440,440,440,44,0,110,110.76997088656009,15.421305997733725,437.59145899821306,2700.5
1777658148,18,,Aggregated,3.000000,0.000000,110,140,150,160,190,360,440,440,440,440,440,50,0,110,108.33062060017255,15.421305997733725,437.59145899821306,2700.5
1777658149,19,,Aggregated,3.000000,0.000000,110,130,150,160,190,360,430,440,440,440,440,54,0,110,106.93648594463377,14.922461999958614,437.59145899821306,2700.5
1777658150,20,,Aggregated,3.400000,0.000000,110,140,150,160,250,360,430,440,440,440,440,58,0,110,110.83794703467746,14.922461999958614,437.59145899821306,2700.5
1777658151,22,,Aggregated,3.400000,0.000000,110,130,150,160,230,320,430,440,440,440,440,62,0,110,110.15167290339201,12.737853998260107,437.59145899821306,2700.5
1777658152,23,,Aggregated,4.000000,0.000000,110,130,150,160,230,320,430,440,440,440,440,68,0,110,107.31009376484187,12.737853998260107,437.59145899821306,2700.5
1777658153,24,,Aggregated,4.200000,0.000000,110,130,150,160,200,320,430,440,440,440,440,74,0,110,105.47114986498805,12.737853998260107,437.59145899821306,2700.5
1777658154,25,,Aggregated,4.400000,0.000000,110,130,150,160,200,320,430,440,440,440,440,80,0,110,103.56392082512684,12.737853998260107,437.59145899821306,2700.5
1777658155,26,,Aggregated,4.600000,0.000000,110,130,150,160,190,280,430,440,440,440,440,88,0,100,101.76432298877361,12.737853998260107,437.59145899821306,2700.5
1777658156,27,,Aggregated,4.600000,0.000000,110,130,150,160,170,280,430,440,440,440,440,94,0,100,100.78422308524364,12.737853998260107,437.59145899821306,2700.5
1777658157,28,,Aggregated,4.600000,0.000000,100,130,140,150,170,280,430,440,440,440,440,100,0,93,98.20012983014749,12.737853998260107,437.59145899821306,2700.5
1777658158,29,,Aggregated,5.400000,0.000000,100,130,140,150,170,250,360,430,440,440,440,108,0,93,96.23393655564777,12.604036997799994,437.59145899821306,2700.5
1777658159,30,,Aggregated,5.600000,0.000000,100,130,140,160,170,250,360,430,440,440,440,114,0,93,96.9590754649656,12.218485997436801,437.59145899821306,2700.5
1777658160,32,,Aggregated,5.800000,0.000000,100,130,140,150,170,250,360,430,440,440,440,120,0,93,95.85106469169962,12.218485997436801,437.59145899821306,2700.5
1777658161,33,,Aggregated,5.600000,0.000000,100,130,140,150,170,230,360,430,440,440,440,128,0,93,94.7799713281654,12.218485997436801,437.59145899821306,2700.5
1777658162,34,,Aggregated,6.000000,0.000000,100,130,140,150,170,230,360,430,440,440,440,134,0,93,94.33135682096446,12.218485997436801,437.59145899821306,2700.5
1777658163,35,,Aggregated,6.400000,0.000000,100,130,140,150,170,230,360,430,440,440,440,140,0,93,94.14483632143467,12.218485997436801,437.59145899821306,2700.5
1777658164,36,,Aggregated,6.600000,0.000000,100,130,140,150,170,210,320,430,440,440,440,152,0,93,93.15811716446899,11.076968999987002,437.59145899821306,2700.5
1777658165,37,,Aggregated,6.800000,0.000000,100,130,140,150,170,210,320,430,440,440,440,160,0,93,92.07879912501085,11.076968999987002,437.59145899821306,2700.5
1777658166,38,,Aggregated,7.000000,0.000000,100,130,140,150,170,210,320,430,440,440,440,170,0,93,92.21554284708606,11.076968999987002,437.59145899821306,2700.5
1777658167,39,,Aggregated,7.200000,0.000000,100,130,140,150,170,210,320,430,440,440,440,178,0,93,91.52875968536821,11.076968999987002,437.59145899821306,2700.5
1777658168,40,,Aggregated,7.400000,0.000000,100,130,140,150,170,200,320,430,440,440,440,188,0,93,90.78129828186378,11.076968999987002,437.59145899821306,2700.5
1777658169,42,,Aggregated,7.600000,0.000000,100,130,140,150,170,200,320,430,440,440,440,196,0,93,90.24566253567767,11.076968999987002,437.59145899821306,2700.5
1777658170,43,,Aggregated,7.800000,0.000000,93,130,140,150,170,200,280,360,440,440,440,206,0,91,89.1717363591878,11.076968999987002,437.59145899821306,2700.5
1777658171,44,,Aggregated,8.200000,0.000000,93,130,140,140,160,200,280,360,440,440,440,214,0,91,88.5546984625541,11.076968999987002,437.59145899821306,2700.5
1777658172,45,,Aggregated,8.200000,0.000000,93,130,140,150,170,200,280,360,440,440,440,222,0,91,88.75195094587325,11.076968999987002,437.59145899821306,2700.5
1777658173,46,,Aggregated,8.400000,0.000000,93,130,140,140,160,200,280,360,440,440,440,232,0,91,88.41432942235456,11.076968999987002,437.59145899821306,2700.5
1777658174,47,,Aggregated,8.600000,0.000000,89,130,140,140,160,190,280,360,440,440,440,244,0,85,87.02924465158831,11.076968999987002,437.59145899821306,2700.5
1777658175,48,,Aggregated,9.000000,0.000000,85,130,140,140,160,190,250,360,440,440,440,256,0,83,86.45486722261353,11.076968999987002,437.59145899821306,2700.5
1777658176,49,,Aggregated,9.400000,0.000000,85,130,140,140,160,180,250,360,440,440,440,266,0,83,85.89015145484619,11.076968999987002,437.59145899821306,2700.5
1777658177,50,,Aggregated,9.400000,0.000000,85,130,140,140,160,190,250,360,440,440,440,278,0,83,85.88019403236522,11.076968999987002,437.59145899821306,2700.5
1777658178,52,,Aggregated,9.600000,0.000000,85,130,140,140,160,190,250,360,440,440,440,288,0,83,85.5314568993006,11.076968999987002,437.59145899821306,2700.5
1777658179,53,,Aggregated,9.800000,0.000000,85,130,140,140,160,190,250,360,440,440,440,300,0,83,85.13442038999831,11.076968999987002,437.59145899821306,2700.5
1777658180,54,,Aggregated,10.000000,0.000000,85,130,140,140,160,180,230,320,440,440,440,310,0,83,84.71758661613539,11.076968999987002,437.59145899821306,2700.5
1777658181,55,,Aggregated,10.200000,0.000000,83,130,130,140,160,180,230,320,440,440,440,324,0,77,84.12858077469907,8.76482599778683,437.59145899821306,2700.5
1777658182,56,,Aggregated,10.600000,0.000000,77,130,130,140,160,180,230,320,440,440,440,334,0,74,84.04550542812915,8.76482599778683,437.59145899821306,2700.5
1777658183,57,,Aggregated,10.600000,0.000000,77,130,130,140,160,180,230,320,440,440,440,344,0,74,83.70072486624935,8.76482599778683,437.59145899821306,2700.5
1777658184,58,,Aggregated,10.800000,0.000000,77,130,130,140,160,180,220,320,440,440,440,358,0,74,83.31026959775797,8.76482599778683,437.59145899821306,2700.5
1777658185,59,,Aggregated,11.200000,0.000000,74,130,130,140,160,180,220,320,440,440,440,370,0,72,82.53757894324096,8.76482599778683,437.59145899821306,2700.5
1777658186,60,,Aggregated,11.400000,0.000000,74,130,130,140,160,180,220,320,440,440,440,384,0,72,82.39612547132917,8.76482599778683,437.59145899821306,2700.5
1777658187,62,,Aggregated,11.600000,0.000000,74,120,130,140,150,180,220,320,440,440,440,398,0,72,81.81907235927095,8.76482599778683,437.59145899821306,2700.5
