Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1777373842,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1777373843,2,,Aggregated,0.000000,0.000000,270,270,270,270,270,270,270,270,270,270,270,2,0,30.404957942664623,151.99313644552603,30.404957942664623,273.58131494838744,1373.5
1777373844,3,,Aggregated,0.000000,0.000000,140,140,270,270,270,270,270,270,270,270,270,4,0,30,116.22117771185003,20.41357196867466,273.58131494838744,1373.5
1777373845,4,,Aggregated,0.000000,0.000000,140,140,170,170,270,270,270,270,270,270,270,8,0,30,102.92176461371128,18.844722071662545,273.58131494838744,1373.5
1777373846,5,,Aggregated,2.000000,0.000000,83,140,140,170,270,270,270,270,270,270,270,10,0,30,92.79336469480768,18.844722071662545,273.58131494838744,1373.5
1777373847,6,,Aggregated,2.000000,0.000000,83,91,140,140,170,270,270,270,270,270,270,12,0,30,86.65439774631523,18.844722071662545,273.58131494838744,1373.5
1777373848,7,,Aggregated,2.666667,0.000000,83,91,140,140,170,270,270,270,270,270,270,14,0,30,81.83812464786959,18.844722071662545,273.58131494838744,1373.5
1777373849,8,,Aggregated,2.500000,0.000000,80,85,140,140,170,270,270,270,270,270,270,16,0,30,78.03301112289773,18.844722071662545,273.58131494838744,1373.5
1777373850,9,,Aggregated,2.400000,0.000000,80,85,110,140,170,270,270,270,270,270,270,18,0,30,76.47803310667061,18.844722071662545,273.58131494838744,1373.5
1777373851,10,,Aggregated,2.333333,0.000000,80,91,110,140,170,270,270,270,270,270,270,20,0,30,75.2826860989444,18.844722071662545,273.58131494838744,1373.5
1777373852,12,,Aggregated,2.285714,0.000000,63,85,110,110,140,170,270,270,270,270,270,22,0,30,72.22945049976592,18.844722071662545,273.58131494838744,1373.5
1777373853,13,,Aggregated,2.250000,0.000000,63,91,110,120,140,170,270,270,270,270,270,28,0,30,70.93910253440428,18.83665204513818,273.58131494838744,1373.5
1777373854,14,,Aggregated,2.222222,0.000000,63,94,110,120,140,170,270,270,270,270,270,32,0,30,70.31466212356463,18.45994300674647,273.58131494838744,1373.5
1777373855,15,,Aggregated,2.600000,0.000000,63,94,110,110,140,170,270,270,270,270,270,38,0,30,68.03262936515047,18.45994300674647,273.58131494838744,1373.5
1777373856,16,,Aggregated,2.600000,0.000000,63,91,110,110,130,140,270,270,270,270,270,42,0,30,66.61942649710302,18.379293964244425,273.58131494838744,1373.5
1777373857,17,,Aggregated,2.800000,0.000000,63,91,98,110,130,140,270,270,270,270,270,46,0,30,65.61688917597918,18.379293964244425,273.58131494838744,1373.5
1777373858,18,,Aggregated,2.800000,0.000000,63,91,98,110,130,140,270,270,270,270,270,50,0,30,64.73770934389904,18.379293964244425,273.58131494838744,1373.5
1777373859,19,,Aggregated,3.200000,0.000000,63,91,96,110,120,140,170,270,270,270,270,54,0,30,64.25109113506214,18.379293964244425,273.58131494838744,1373.5
1777373860,20,,Aggregated,3.400000,0.000000,63,91,96,100,120,140,170,270,270,270,270,58,0,30,63.84054167950847,18.379293964244425,273.58131494838744,1373.5
1777373861,22,,Aggregated,3.600000,0.000000,63,91,96,100,120,140,170,270,270,270,270,62,0,30,63.17903365256385,12.479085009545088,273.58131494838744,1373.5
1777373862,23,,Aggregated,3.800000,0.000000,63,91,96,100,120,140,170,270,270,270,270,68,0,30,62.4721671355313,12.479085009545088,273.58131494838744,1373.5
1777373863,24,,Aggregated,4.000000,0.000000,60,85,94,100,110,140,170,270,270,270,270,74,0,30,60.9471376378064,9.48744104243815,273.58131494838744,1373.5
1777373864,25,,Aggregated,4.200000,0.000000,60,85,93,98,110,130,170,270,270,270,270,82,0,30,60.3780354750797,9.48744104243815,273.58131494838744,1373.5
1777373865,26,,Aggregated,4.600000,0.000000,60,86,94,98,110,130,170,270,270,270,270,88,0,30,60.18183699846056,9.48744104243815,273.58131494838744,1373.5
