Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1777631169,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1777631170,2,,Aggregated,0.000000,0.000000,160,160,160,160,160,160,160,160,160,160,160,2,0,96.40832399963983,128.90261199981978,96.40832399963983,161.39689999999973,1170.0
1777631171,3,,Aggregated,0.000000,0.000000,100,100,160,160,160,160,160,160,160,160,160,3,0,100,119.15617399987848,96.40832399963983,161.39689999999973,1170.0
1777631172,4,,Aggregated,1.000000,0.000000,110,110,160,160,160,160,160,160,160,160,160,4,0,100,116.68809874993258,96.40832399963983,161.39689999999973,1170.0
1777631173,5,,Aggregated,1.000000,0.000000,110,120,120,160,160,160,160,160,160,160,160,5,0,110,117.74427699992884,96.40832399963983,161.39689999999973,1170.0
1777631174,6,,Aggregated,1.000000,0.000000,110,110,120,120,160,160,160,160,160,160,160,6,0,110,115.88079483324994,96.40832399963983,161.39689999999973,1170.0
1777631175,7,,Aggregated,1.000000,0.000000,110,110,120,120,160,160,160,160,160,160,160,7,0,110,110.92732642847685,81.2065159998383,161.39689999999973,1170.0
1777631176,8,,Aggregated,1.000000,0.000000,110,110,120,120,160,160,160,160,160,160,160,8,0,100,109.56508074991689,81.2065159998383,161.39689999999973,1170.0
1777631177,9,,Aggregated,1.000000,0.000000,100,110,110,120,160,160,160,160,160,160,160,9,0,100,107.15996888883537,81.2065159998383,161.39689999999973,1170.0
1777631178,10,,Aggregated,1.000000,0.000000,110,110,110,120,160,160,160,160,160,160,160,10,0,100,107.59357309993902,81.2065159998383,161.39689999999973,1170.0
1777631179,12,,Aggregated,1.125000,0.000000,110,110,110,110,120,160,160,160,160,160,160,12,0,100,104.90403749997768,73.14089000010426,161.39689999999973,1170.0
1777631180,13,,Aggregated,1.111111,0.000000,100,110,110,110,120,160,160,160,160,160,160,14,0,100,103.5420390714015,73.14089000010426,161.39689999999973,1170.0
1777631181,14,,Aggregated,1.100000,0.000000,100,110,110,110,120,160,160,160,160,160,160,17,0,100,103.77899364702364,73.14089000010426,161.39689999999973,1170.0
