Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1777739475,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1777739476,2,,Aggregated,0.000000,0.000000,560,560,560,560,560,560,560,560,560,560,560,2,0,45,301.3503969996236,44.73493600380607,557.9658579954412,3080.5
1777739477,3,,Aggregated,0.000000,0.000000,100,100,130,130,560,560,560,560,560,560,560,6,0,45,149.36023917107377,23.567759009893052,557.9658579954412,3080.5
1777739478,4,,Aggregated,0.000000,0.000000,100,130,140,140,560,560,560,560,560,560,560,8,0,45,134.62355137744453,23.567759009893052,557.9658579954412,3080.5
1777739479,5,,Aggregated,2.000000,0.000000,100,120,130,140,560,560,560,560,560,560,560,10,0,45,122.75256770226406,23.567759009893052,557.9658579954412,3080.5
1777739480,6,,Aggregated,2.000000,0.000000,100,120,140,140,170,560,560,560,560,560,560,12,0,45,118.38697633478053,23.567759009893052,557.9658579954412,3080.5
1777739481,7,,Aggregated,2.000000,0.000000,100,130,140,140,170,560,560,560,560,560,560,14,0,45,113.27049121505947,23.567759009893052,557.9658579954412,3080.5
1777739482,8,,Aggregated,2.000000,0.000000,100,130,140,140,170,560,560,560,560,560,560,16,0,45,111.1931201257903,23.567759009893052,557.9658579954412,3080.5
1777739483,9,,Aggregated,2.000000,0.000000,100,130,140,160,170,560,560,560,560,560,560,18,0,45,108.91872850010662,23.567759009893052,557.9658579954412,3080.5
1777739484,10,,Aggregated,2.000000,0.000000,100,140,160,170,330,560,560,560,560,560,560,20,0,45,115.84580394992372,23.567759009893052,557.9658579954412,3080.5
1777739485,12,,Aggregated,2.000000,0.000000,100,130,140,160,170,330,560,560,560,560,560,22,0,45,112.4508205903112,23.567759009893052,557.9658579954412,3080.5
1777739486,13,,Aggregated,2.000000,0.000000,100,130,140,150,170,330,560,560,560,560,560,28,0,45,105.91683357051807,23.567759009893052,557.9658579954412,3080.5
1777739487,14,,Aggregated,2.200000,0.000000,100,140,150,160,170,330,560,560,560,560,560,32,0,45,105.23127881151595,23.42869999120012,557.9658579954412,3080.5
1777739488,15,,Aggregated,2.400000,0.000000,100,140,160,170,170,330,560,560,560,560,560,36,0,45,104.23350938799558,21.179663002840243,557.9658579954412,3080.5
1777739489,16,,Aggregated,2.600000,0.000000,100,140,160,170,180,210,560,560,560,560,560,42,0,45,103.23679849915649,17.932603004737757,557.9658579954412,3080.5
1777739490,17,,Aggregated,2.800000,0.000000,100,140,170,170,180,210,560,560,560,560,560,46,0,45,102.55506949919356,17.932603004737757,557.9658579954412,3080.5
1777739491,18,,Aggregated,3.000000,0.000000,100,140,160,170,180,210,560,560,560,560,560,50,0,45,100.79272941919044,13.482798007316887,557.9658579954412,3080.5
1777739492,19,,Aggregated,3.200000,0.000000,100,140,160,170,180,210,330,560,560,560,560,54,0,45,100.769361239886,13.482798007316887,557.9658579954412,3080.5
1777739493,20,,Aggregated,3.400000,0.000000,100,140,160,170,180,230,330,560,560,560,560,58,0,45,101.42919230942238,13.482798007316887,557.9658579954412,3080.5
1777739494,22,,Aggregated,3.600000,0.000000,100,140,160,170,180,210,330,560,560,560,560,62,0,45,100.45111091852549,13.482798007316887,557.9658579954412,3080.5
1777739495,23,,Aggregated,3.800000,0.000000,100,140,160,170,180,210,330,560,560,560,560,68,0,45,99.02187344072017,13.482798007316887,557.9658579954412,3080.5
1777739496,24,,Aggregated,4.200000,0.000000,100,140,160,170,180,210,330,560,560,560,560,72,0,45,98.7635504578874,13.482798007316887,557.9658579954412,3080.5
1777739497,25,,Aggregated,4.200000,0.000000,100,150,160,170,180,230,330,560,560,560,560,80,0,45,98.89491316225758,13.482798007316887,557.9658579954412,3080.5
1777739498,26,,Aggregated,4.600000,0.000000,100,150,160,160,180,210,330,560,560,560,560,88,0,45,97.96813059107411,13.482798007316887,557.9658579954412,3080.5
1777739499,27,,Aggregated,4.600000,0.000000,100,140,160,160,180,230,330,560,560,560,560,94,0,45,97.85204570235169,13.482798007316887,557.9658579954412,3080.5
1777739500,28,,Aggregated,4.800000,0.000000,100,140,160,160,180,230,330,560,560,560,560,100,0,45,97.20580235036323,13.482798007316887,557.9658579954412,3080.5
1777739501,29,,Aggregated,5.000000,0.000000,100,140,160,160,170,210,240,330,560,560,560,108,0,45,95.7972055835449,13.482798007316887,557.9658579954412,3080.5
1777739502,30,,Aggregated,5.400000,0.000000,100,140,150,160,170,210,240,330,560,560,560,114,0,45,95.35791460547715,13.482798007316887,557.9658579954412,3080.5
1777739503,32,,Aggregated,5.600000,0.000000,100,140,150,160,170,210,240,330,560,560,560,120,0,45,94.86764496674975,13.482798007316887,557.9658579954412,3080.5
1777739504,33,,Aggregated,5.800000,0.000000,100,140,150,160,170,190,240,330,560,560,560,126,0,45,94.21922442884858,13.482798007316887,557.9658579954412,3080.5
1777739505,34,,Aggregated,6.200000,0.000000,100,140,150,160,170,190,240,330,560,560,560,134,0,45,93.97966114214688,13.482798007316887,557.9658579954412,3080.5
1777739506,35,,Aggregated,6.200000,0.000000,100,140,150,160,170,190,240,330,560,560,560,140,0,45,93.40078333604781,13.482798007316887,557.9658579954412,3080.5
1777739507,36,,Aggregated,6.400000,0.000000,100,140,150,150,170,190,230,330,560,560,560,152,0,45,92.30798386880979,13.482798007316887,557.9658579954412,3080.5
1777739508,37,,Aggregated,6.600000,0.000000,100,140,150,150,170,190,230,330,560,560,560,160,0,45,91.97425792544891,13.482798007316887,557.9658579954412,3080.5
1777739509,38,,Aggregated,6.800000,0.000000,100,140,150,150,170,190,230,330,560,560,560,168,0,45,91.76100614933516,13.482798007316887,557.9658579954412,3080.5
1777739510,39,,Aggregated,7.000000,0.000000,100,140,150,150,170,190,230,330,560,560,560,178,0,45,90.6373034273876,13.482798007316887,557.9658579954412,3080.5
1777739511,40,,Aggregated,7.400000,0.000000,100,140,150,150,170,190,230,330,560,560,560,188,0,45,89.98546803768284,13.482798007316887,557.9658579954412,3080.5
1777739512,42,,Aggregated,7.600000,0.000000,100,140,150,150,170,190,230,330,560,560,560,196,0,45,89.40802453620637,13.482798007316887,557.9658579954412,3080.5
1777739513,43,,Aggregated,7.800000,0.000000,63,130,150,150,170,190,230,240,560,560,560,206,0,45,88.7177284423107,13.482798007316887,557.9658579954412,3080.5
1777739514,44,,Aggregated,8.200000,0.000000,63,130,140,150,170,190,230,240,560,560,560,214,0,45,88.02475929494173,13.482798007316887,557.9658579954412,3080.5
1777739515,45,,Aggregated,8.200000,0.000000,63,130,140,150,160,180,230,240,560,560,560,222,0,45,87.56168507259005,13.482798007316887,557.9658579954412,3080.5
1777739516,46,,Aggregated,8.600000,0.000000,63,130,140,150,160,180,230,240,560,560,560,232,0,45,86.95847179353285,13.482798007316887,557.9658579954412,3080.5
