Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1783097273,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1783097274,2,,Aggregated,0.000000,0.000000,400,400,400,400,400,400,400,400,400,400,400,1,0,403.9109000004828,403.9109000004828,403.9109000004828,403.9109000004828,709.0
1783097275,3,,Aggregated,0.000000,0.000000,190,190,400,400,400,400,400,400,400,400,400,3,0,190,254.60653500340413,167.40248100541066,403.9109000004828,689.6666666666666
1783097276,4,,Aggregated,0.000000,0.000000,230,230,400,400,400,400,400,400,400,400,400,4,0,190,247.4053622536303,167.40248100541066,403.9109000004828,687.25
1783097277,5,,Aggregated,1.000000,0.000000,190,230,230,400,400,400,400,400,400,400,400,5,0,190,234.08434960292652,167.40248100541066,403.9109000004828,685.8
1783097278,6,,Aggregated,1.000000,0.000000,190,190,230,230,400,400,400,400,400,400,400,6,0,180,220.0296620018586,149.7562239965191,403.9109000004828,684.8333333333334
1783097279,7,,Aggregated,1.000000,0.000000,180,190,230,230,400,400,400,400,400,400,400,7,0,180,208.64761457362744,140.3553300042404,403.9109000004828,684.1428571428571
1783097280,8,,Aggregated,1.000000,0.000000,180,190,230,230,400,400,400,400,400,400,400,8,0,170,202.9403118776827,140.3553300042404,403.9109000004828,683.625
1783097281,9,,Aggregated,1.000000,0.000000,180,190,230,400,470,470,470,470,470,470,470,9,0,180,233.0370954457774,140.3553300042404,473.811363990535,683.2222222222222
1783097282,10,,Aggregated,1.000000,0.000000,190,230,290,400,470,470,470,470,470,470,470,10,0,180,238.67335460090544,140.3553300042404,473.811363990535,682.9
1783097283,12,,Aggregated,1.000000,0.000000,190,260,290,290,400,470,470,470,470,470,470,11,0,190,240.9247358194658,140.3553300042404,473.811363990535,682.6363636363636
1783097284,13,,Aggregated,1.000000,0.000000,200,230,260,290,400,470,470,470,470,470,470,14,0,190,230.15944535810766,140.3553300042404,473.811363990535,682.0714285714286
1783097285,14,,Aggregated,1.000000,0.000000,200,220,260,260,400,470,470,470,470,470,470,16,0,190,223.89448106332566,140.3553300042404,473.811363990535,681.8125
1783097286,15,,Aggregated,1.200000,0.000000,190,210,230,260,400,470,470,470,470,470,470,18,0,180,214.14230922285546,131.3598849956179,473.811363990535,681.6111111111111
1783097287,16,,Aggregated,1.300000,0.000000,190,220,260,290,400,470,470,470,470,470,470,20,0,180,215.10886215110077,125.03347100573592,473.811363990535,681.45
1783097288,17,,Aggregated,1.400000,0.000000,180,220,260,290,320,400,470,470,470,470,470,23,0,180,215.43458226179885,125.03347100573592,473.811363990535,681.2608695652174
1783097289,18,,Aggregated,1.500000,0.000000,180,210,230,290,320,400,470,470,470,470,470,25,0,180,210.26172428042628,125.03347100573592,473.811363990535,681.16
1783097290,19,,Aggregated,1.600000,0.000000,180,200,230,260,320,400,470,470,470,470,470,27,0,180,207.41633048196996,125.03347100573592,473.811363990535,681.074074074074
1783097291,20,,Aggregated,1.700000,0.000000,180,220,240,290,320,400,470,470,470,470,470,29,0,180,211.66271017312377,125.03347100573592,473.811363990535,681.0
1783097292,22,,Aggregated,1.800000,0.000000,180,210,240,260,320,400,470,470,470,470,470,31,0,180,207.87130787146216,125.03347100573592,473.811363990535,680.9354838709677
1783097293,23,,Aggregated,1.900000,0.000000,180,210,240,260,320,400,470,470,470,470,470,33,0,180,204.61049654642756,69.75515800877474,473.811363990535,680.8787878787879
1783097294,24,,Aggregated,2.100000,0.000000,170,200,230,240,320,400,470,470,470,470,470,37,0,170,198.9865312714608,69.75515800877474,473.811363990535,680.7837837837837
1783097295,25,,Aggregated,2.200000,0.000000,170,200,230,240,320,400,470,470,470,470,470,40,0,170,192.9073510262242,69.75515800877474,473.811363990535,680.725
1783097296,26,,Aggregated,2.200000,0.000000,170,200,220,240,300,320,470,470,470,470,470,44,0,160,187.40912695582003,69.75515800877474,473.811363990535,680.6590909090909
1783097297,27,,Aggregated,2.300000,0.000000,170,200,220,240,300,320,470,470,470,470,470,46,0,160,186.99998091419135,69.75515800877474,473.811363990535,680.6304347826087
1783097298,28,,Aggregated,2.400000,0.000000,170,200,230,250,320,420,500,500,500,500,500,49,0,170,198.6544043278887,69.75515800877474,495.8320480072871,680.5918367346939
1783097299,29,,Aggregated,2.600000,0.000000,170,210,240,260,400,500,550,580,580,580,580,54,0,170,210.89026952028723,69.75515800877474,577.322979006567,680.5370370370371
1783097300,30,,Aggregated,2.600000,0.000000,170,200,240,250,400,500,550,580,580,580,580,57,0,170,206.38962075591144,69.75515800877474,577.322979006567,680.5087719298245
1783097301,32,,Aggregated,2.700000,0.000000,170,200,240,250,400,500,550,580,580,580,580,59,0,170,204.07294366243335,69.75515800877474,577.322979006567,680.4915254237288
1783097302,33,,Aggregated,2.900000,0.000000,170,210,240,260,400,470,550,580,580,580,580,63,0,170,210.0151374140137,69.75515800877474,577.322979006567,680.4603174603175
1783097303,34,,Aggregated,3.100000,0.000000,170,220,250,290,400,470,550,580,580,580,580,67,0,170,213.20289776246966,69.75515800877474,577.322979006567,680.4328358208955
1783097304,35,,Aggregated,3.000000,0.000000,180,220,250,290,400,470,550,580,580,580,580,70,0,180,214.01432880104818,69.75515800877474,577.322979006567,680.4142857142857
1783097305,36,,Aggregated,3.200000,0.000000,180,220,250,270,400,470,550,580,580,580,580,76,0,180,213.12901132995123,69.75515800877474,577.322979006567,680.3815789473684
1783097306,37,,Aggregated,3.300000,0.000000,180,220,250,270,400,470,550,580,580,580,580,80,0,180,211.97875140096585,69.75515800877474,577.322979006567,680.3625
1783097307,38,,Aggregated,3.400000,0.000000,180,220,240,260,390,420,550,580,580,580,580,84,0,180,210.13247147701415,69.75515800877474,577.322979006567,680.3452380952381
1783097308,39,,Aggregated,3.600000,0.000000,180,220,240,250,390,420,550,580,580,580,580,87,0,180,209.2908391845747,69.75515800877474,577.322979006567,680.3333333333334
1783097309,40,,Aggregated,3.600000,0.000000,200,230,250,300,400,480,550,580,580,580,580,93,0,200,221.27885586063888,69.75515800877474,577.322979006567,680.3118279569892
1783097310,42,,Aggregated,3.700000,0.000000,190,220,250,290,400,480,550,580,580,580,580,98,0,190,217.3756951124975,69.75515800877474,577.322979006567,680.295918367347
1783097311,43,,Aggregated,3.800000,0.000000,190,220,250,290,400,470,550,550,580,580,580,101,0,190,215.34926506951751,69.75515800877474,577.322979006567,680.2871287128713
1783097312,44,,Aggregated,4.100000,0.000000,200,230,260,310,400,470,550,550,580,580,580,105,0,200,221.09192001918842,69.75515800877474,577.322979006567,680.2761904761904
1783097313,45,,Aggregated,4.100000,0.000000,200,230,290,310,410,500,550,570,580,580,580,112,0,190,224.42860491056697,69.75515800877474,577.322979006567,680.2589285714286
1783097314,46,,Aggregated,4.100000,0.000000,200,230,290,320,410,500,550,570,580,580,580,114,0,190,224.74719892080319,69.75515800877474,577.322979006567,680.2543859649123
1783097315,47,,Aggregated,4.100000,0.000000,200,230,270,310,410,480,550,570,580,580,580,122,0,200,224.8801258030027,69.75515800877474,577.322979006567,680.2377049180328
1783097316,48,,Aggregated,4.500000,0.000000,200,230,260,310,410,480,550,570,580,580,580,127,0,200,222.64638244871995,69.75515800877474,577.322979006567,680.2283464566929
1783097317,49,,Aggregated,4.400000,0.000000,200,230,270,300,400,480,550,570,580,580,580,133,0,200,222.7654768417929,69.75515800877474,577.322979006567,680.218045112782
1783097318,50,,Aggregated,4.600000,0.000000,200,240,280,310,400,480,550,570,580,580,580,137,0,200,225.48654071494246,69.75515800877474,577.322979006567,680.2116788321168
1783097319,52,,Aggregated,4.700000,0.000000,200,240,280,310,400,470,550,570,580,580,580,141,0,200,226.46212534711066,69.75515800877474,577.322979006567,680.2056737588653
1783097320,53,,Aggregated,4.900000,0.000000,200,240,300,350,450,550,570,580,640,640,640,150,0,200,239.54852639969127,69.75515800877474,635.8325070032151,680.1933333333334
