Method,Name,Error,Occurrences,First Seen,Last Seen
GET,GET /api/v1/retrieve/Observation?_id=dcca9e6c30c46a9affb0d049936e9647ee10336766c95fc6966b310d,CatchResponseError('Unexpected status code: 503'),1,2026-07-03T18:53:07Z,2026-07-03T18:53:07Z
GET,GET /api/v1/retrieve/Observation?_id=78b97216bdf3e9d1392027e0dd711274ff1fa05987efa3c2fec72b98,CatchResponseError('Unexpected status code: 503'),1,2026-07-03T18:49:43Z,2026-07-03T18:49:43Z
GET,GET /api/v1/retrieve/Observation?_id=944aab25174b48e1ad75dfe76b69a387e13f4809b2edad55781d3113,CatchResponseError('Unexpected status code: 503'),1,2026-07-03T18:51:06Z,2026-07-03T18:51:06Z
GET,GET /api/v1/retrieve/Observation?_id=58bb45fd308d6bf2d1c6b799c656803f3f3397ededfb76b334ee6b16,CatchResponseError('Unexpected status code: 503'),1,2026-07-03T18:55:57Z,2026-07-03T18:55:57Z
GET,GET /api/v1/retrieve/Observation?_id=ad0edb1acac2bc4af22b3d6a9f13e16ff3779084b27d3c50c1e7288d,CatchResponseError('Unexpected status code: 503'),1,2026-07-03T18:55:01Z,2026-07-03T18:55:01Z
GET,GET /api/v1/retrieve/Observation?_id=123c34036fb3f5a846a908a1c99e01b144a414a27f5efeff71a3b488,CatchResponseError('Unexpected status code: 503'),1,2026-07-03T18:55:01Z,2026-07-03T18:55:01Z
GET,GET /api/v1/retrieve/Observation?_id=95043416d9e7236e89cfa518b93f9365752f81e49bdf88f8b6afd6aa,CatchResponseError('Unexpected status code: 503'),1,2026-07-03T18:52:29Z,2026-07-03T18:52:29Z
GET,GET /api/v1/retrieve/Observation?_id=cb94cc1a872fedc22c5e2d3256a9e2d1a008dc210d0a7cd5abd78b7b,CatchResponseError('Unexpected status code: 503'),1,2026-07-03T18:51:06Z,2026-07-03T18:51:06Z
GET,GET /api/v1/retrieve/Observation?_id=7bd3738b7e8f9254a10ae0a7c8b06a0da2583345aa56f35c2c84fab7,CatchResponseError('Unexpected status code: 503'),1,2026-07-03T18:53:07Z,2026-07-03T18:53:07Z
GET,GET /api/v1/retrieve/Observation?_id=cff66a4c7b7e469b6f51d979a321cf1f997be7cef5fe9db4d85e0ae5,CatchResponseError('Unexpected status code: 503'),1,2026-07-03T18:52:29Z,2026-07-03T18:52:29Z
GET,GET /api/v1/retrieve/Observation?_id=2929b09eafe800c93883cd7ce13c8d87e8da1ebbc24f87d844993550,CatchResponseError('Unexpected status code: 503'),1,2026-07-03T18:52:29Z,2026-07-03T18:52:29Z
GET,GET /api/v1/retrieve/Observation?_id=113c0a140f175f3238a57a3fc5189d21040d90654c724db27fe17a28,CatchResponseError('Unexpected status code: 503'),1,2026-07-03T18:53:07Z,2026-07-03T18:53:07Z
GET,GET /api/v1/retrieve/Observation?_id=4099a86c744074b323f24d5708dcd1268fe774a6732245cdc52c7983,CatchResponseError('Unexpected status code: 503'),1,2026-07-03T18:46:06Z,2026-07-03T18:46:06Z
GET,GET /api/v1/retrieve/Observation?_id=d70d4b01e86d231505dcb7ac6aef5d5e88f26eaa00a9c43213cb359b,CatchResponseError('Unexpected status code: 503'),1,2026-07-03T18:52:29Z,2026-07-03T18:52:29Z
GET,GET /api/v1/retrieve/Observation?_id=8e304ce7830661ebe2ae7bb112b81295709280cf5eb2eea3a8159097,CatchResponseError('Unexpected status code: 503'),1,2026-07-03T18:52:29Z,2026-07-03T18:52:29Z
GET,GET /api/v1/retrieve/Observation?_id=116694a18dbfe74018320a4fd8a898a8ad9394a473c123ffbd6e9eb8,CatchResponseError('Unexpected status code: 503'),1,2026-07-03T18:49:43Z,2026-07-03T18:49:43Z
GET,GET /api/v1/retrieve/Observation?_id=769021e014b8feef8cba47b50dc1dbadb9d9353171d1ad183b2cd213,CatchResponseError('Unexpected status code: 503'),1,2026-07-03T18:52:29Z,2026-07-03T18:52:29Z
GET,GET /api/v1/retrieve/Observation?_id=8e209576f9c03f43f928038d7fefeb37bd691784b0e2234bf9e552cb,CatchResponseError('Unexpected status code: 503'),1,2026-07-03T18:52:29Z,2026-07-03T18:52:29Z
GET,GET /api/v1/retrieve/Observation?_id=f57f63d1521d382117d0edf8d6d11f4aad65e65b5dad10f50f72d43b,CatchResponseError('Unexpected status code: 503'),1,2026-07-03T18:52:29Z,2026-07-03T18:52:29Z
GET,GET /api/v1/retrieve/Observation?_id=b7e5590b51c11799bf8443317d55489f2ea21c4314bf6a84cb5c8b6a,CatchResponseError('Unexpected status code: 503'),1,2026-07-03T18:51:06Z,2026-07-03T18:51:06Z
GET,GET /api/v1/retrieve/Observation?_id=d2c557375498a7b8faca457e78ea78a98622037c40b9491b8656cffc,CatchResponseError('Unexpected status code: 503'),1,2026-07-03T18:49:43Z,2026-07-03T18:49:43Z
GET,GET /api/v1/retrieve/Observation?_id=ed837330b2bc454f680f7647abf51f36cce163c24c3cce29947ffad9,CatchResponseError('Unexpected status code: 503'),1,2026-07-03T18:46:06Z,2026-07-03T18:46:06Z
GET,GET /api/v1/retrieve/Observation?_id=8e73f66e5d727c2c742dba60e03c3d3dbe721f733274acbb8c8ed3cb,CatchResponseError('Unexpected status code: 503'),1,2026-07-03T18:55:01Z,2026-07-03T18:55:01Z
GET,GET /api/v1/retrieve/Observation?_id=ee52c7f711ffe7f3ca38fb92cf882718f2613523ebc1e0e2d2ef8ea8,CatchResponseError('Unexpected status code: 503'),1,2026-07-03T18:53:28Z,2026-07-03T18:53:28Z
GET,GET /api/v1/retrieve/Observation?_id=2f298925de823a4bd4405030e0c255faa6887ef8a60059920a7f6791,CatchResponseError('Unexpected status code: 503'),1,2026-07-03T18:49:44Z,2026-07-03T18:49:44Z
GET,GET /api/v1/retrieve/Observation?_id=bc433ae08596006edf2bc1fb3f5693a7d564cc07135538bd36688aa8,CatchResponseError('Unexpected status code: 503'),1,2026-07-03T18:54:08Z,2026-07-03T18:54:08Z
GET,GET /api/v1/retrieve/Observation?_id=81a63a263e85bbb9b6367faa53225b1b9185c1b1f15f4ea883c2f683,CatchResponseError('Unexpected status code: 503'),1,2026-07-03T18:46:06Z,2026-07-03T18:46:06Z
GET,GET /api/v1/retrieve/Observation?_id=c2ededea261af9225c9ea0960e0f9ff4e5805c1ed0387ed1c5344583,CatchResponseError('Unexpected status code: 503'),1,2026-07-03T18:52:29Z,2026-07-03T18:52:29Z
GET,GET /api/v1/retrieve/Observation?_id=dd29d91a8914009e89de8d13c019e05df6b0c3ea6bb395f476c1adaf,CatchResponseError('Unexpected status code: 503'),1,2026-07-03T18:49:43Z,2026-07-03T18:49:43Z
GET,GET /api/v1/retrieve/Observation?_id=4130df916391160e01397ea545a4ba6160c0ee27ae4637c6362caf67,CatchResponseError('Unexpected status code: 503'),1,2026-07-03T18:55:01Z,2026-07-03T18:55:01Z
GET,GET /api/v1/retrieve/Observation?_id=2b2a7a712ae1c877d61b2e4014b14aaab7d6fa3de4074b1821d0ae39,CatchResponseError('Unexpected status code: 503'),1,2026-07-03T18:47:51Z,2026-07-03T18:47:51Z
GET,GET /api/v1/retrieve/Observation?_id=ddd32c9db97cbbcb1217782674a7fc79fb3190b28eb78e4085d2be57,CatchResponseError('Unexpected status code: 503'),1,2026-07-03T18:55:57Z,2026-07-03T18:55:57Z
GET,GET /api/v1/retrieve/Observation?_id=cb23b8b797aa9984120a470e5a89cb938f7c710e45b988c56c087872,CatchResponseError('Unexpected status code: 503'),1,2026-07-03T18:55:01Z,2026-07-03T18:55:01Z
GET,GET /api/v1/retrieve/Observation?_id=39d37827bbf44b2bafdb0806b3c9c590da2e5e0e77f2731452258ebb,CatchResponseError('Unexpected status code: 503'),1,2026-07-03T18:54:28Z,2026-07-03T18:54:28Z
GET,GET /api/v1/retrieve/Observation?_id=2749c2507d6da2e9f9373d6335854fdfc63b2552803c089485b813b2,CatchResponseError('Unexpected status code: 503'),1,2026-07-03T18:46:06Z,2026-07-03T18:46:06Z
GET,GET /api/v1/retrieve/Observation?_id=979e7ef31bbc6a0776398728191fdabc623c073b1bd5aa1fcecb7767,CatchResponseError('Unexpected status code: 503'),1,2026-07-03T18:49:44Z,2026-07-03T18:49:44Z
GET,GET /api/v1/retrieve/Observation?_id=7d342cab7ae1550cbaab284dde9a251026fb6c3b2c58122b59d99924,CatchResponseError('Unexpected status code: 503'),1,2026-07-03T18:55:57Z,2026-07-03T18:55:57Z
