Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /api/v1/retrieve/Observation?_id=00018f472ef70d35513c80cab9b3c6338eb8669fb4cf93baa1307462,1,0,39409.5301769994,39409.5301769994,39409.5301769994,39409.5301769994,1549.0,0.0008360533767373236,0.0,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000
GET,GET /api/v1/retrieve/Observation?_id=000505435e33f625cad87ef9d00019361de2fb20e2a8f98c786d5dae,1,0,35846.154094993835,35846.154094993835,35846.154094993835,35846.154094993835,1549.0,0.0008360533767373236,0.0,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000
GET,GET /api/v1/retrieve/Observation?_id=00061c465591aa30ea2137ba62f1632939d9d5ff3dbee5653450eae1,1,0,16871.7420539906,16871.7420539906,16871.7420539906,16871.7420539906,1549.0,0.0008360533767373236,0.0,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000
GET,GET /api/v1/retrieve/Observation?_id=00066f5bdbb934c3e5c350aa0b64449b915da43177997af01413eeea,1,0,32762.488553998992,32762.488553998992,32762.488553998992,32762.488553998992,1549.0,0.0008360533767373236,0.0,33000,33000,33000,33000,33000,33000,33000,33000,33000,33000,33000
GET,GET /api/v1/retrieve/Observation?_id=001318fa963a80878ab1272dead5e5513ca511f726e7806239285a2f,1,0,29695.6860509963,29695.6860509963,29695.6860509963,29695.6860509963,1549.0,0.0008360533767373236,0.0,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000
GET,GET /api/v1/retrieve/Observation?_id=00141f5fe07cda6c05350a21b0d2201429c8c18500b108e3feaf1402,1,0,32614.635787002044,32614.635787002044,32614.635787002044,32614.635787002044,1549.0,0.0008360533767373236,0.0,33000,33000,33000,33000,33000,33000,33000,33000,33000,33000,33000
GET,GET /api/v1/retrieve/Observation?_id=001429a2e75aea39ddd6a42f0126c0eb083d368c66bde9c0c12a4fb2,1,0,47581.488789001014,47581.488789001014,47581.488789001014,47581.488789001014,1549.0,0.0008360533767373236,0.0,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000
GET,GET /api/v1/retrieve/Observation?_id=0016581c92f2927b40e735e712dc30093224ddc31de83a5ac45c5f6e,1,0,30447.895937992143,30447.895937992143,30447.895937992143,30447.895937992143,1549.0,0.0008360533767373236,0.0,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000
GET,GET /api/v1/retrieve/Observation?_id=00191b689f70c8b6057fd99c47bca94faec5423dd3cf0326e76cf843,1,0,36844.37939099735,36844.37939099735,36844.37939099735,36844.37939099735,1549.0,0.0008360533767373236,0.0,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000
GET,GET /api/v1/retrieve/Observation?_id=0019de0934c6d63e93136d9f09fd89bfa81deb277fe35d18b48e1faa,1,0,33154.86849298759,33154.86849298759,33154.86849298759,33154.86849298759,1549.0,0.0008360533767373236,0.0,33000,33000,33000,33000,33000,33000,33000,33000,33000,33000,33000
